Employee_ID,Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned
1,IT,Male,55,Specialist,19/1/2022 8:03,2,High School,5,6750,33,32,22,2,0,14,66,0,2.63,FALSE
2,Finance,Male,29,Developer,18/4/2024 8:03,0,High School,5,7500,34,34,13,14,100,12,61,2,1.72,FALSE
3,Finance,Male,55,Specialist,26/10/2015 8:03,8,High School,3,5850,37,27,6,3,50,10,1,0,3.17,FALSE
4,Customer Support,Female,48,Analyst,22/10/2016 8:03,7,Bachelor,2,4800,52,10,28,12,100,10,0,1,1.86,FALSE
5,Engineering,Female,36,Analyst,23/7/2021 8:03,3,Bachelor,2,4800,38,11,29,13,100,15,9,1,1.25,FALSE
6,IT,Male,43,Manager,14/8/2016 8:03,8,High School,3,7800,46,31,8,0,100,15,95,0,2.77,FALSE
7,IT,Male,37,Technician,28/8/2023 8:03,1,Bachelor,5,5250,55,20,29,2,0,16,27,0,4.46,FALSE
8,Engineering,Female,55,Engineer,27/10/2014 8:03,9,Bachelor,2,7200,42,46,7,8,100,7,64,0,2.09,FALSE
9,Marketing,Female,55,Technician,29/6/2023 8:03,1,High School,2,4200,51,23,21,14,0,1,0,1,1.44,FALSE
10,Engineering,Female,45,Consultant,23/12/2016 8:03,7,Bachelor,1,6050,41,33,2,6,75,4,53,2,2.93,FALSE
11,Customer Support,Male,52,Engineer,26/11/2019 8:03,4,Bachelor,3,7800,38,1,5,0,25,4,90,1,2.34,FALSE
12,Customer Support,Male,27,Technician,19/2/2015 8:03,9,Bachelor,5,5250,39,13,2,13,25,5,88,0,1.96,FALSE
13,HR,Male,51,Technician,4/7/2019 8:03,5,Bachelor,4,4900,31,11,16,1,75,7,17,2,2.13,FALSE
14,Engineering,Male,27,Analyst,14/10/2014 8:03,9,Bachelor,4,5600,33,30,5,13,25,4,26,1,1.46,FALSE
15,Finance,Male,46,Analyst,11/3/2023 8:03,1,Master,1,4400,33,49,13,1,100,13,37,1,2.22,FALSE
16,Customer Support,Male,26,Developer,19/4/2023 8:03,1,High School,2,6000,33,41,9,13,50,3,46,1,2.42,FALSE
17,Operations,Male,29,Engineer,21/9/2019 8:03,4,Bachelor,2,7200,43,26,29,12,0,6,76,2,3.15,FALSE
18,Sales,Other,28,Developer,8/11/2022 8:03,1,High School,3,6500,47,36,6,12,75,12,54,0,1.19,FALSE
19,Customer Support,Other,56,Developer,1/10/2015 8:03,8,Bachelor,1,5500,57,9,24,1,75,1,36,0,1.12,FALSE
20,Finance,Male,23,Technician,8/5/2015 8:03,9,High School,2,4200,52,0,9,1,0,5,66,0,3.91,FALSE
21,Operations,Female,33,Manager,19/12/2022 8:03,1,Bachelor,1,6600,33,28,13,13,50,15,53,2,3.7,FALSE
22,Sales,Male,59,Manager,25/5/2017 8:03,7,Master,5,9000,30,22,9,2,25,4,20,0,4.66,FALSE
23,Finance,Male,26,Specialist,23/7/2016 8:03,8,High School,4,6300,48,40,9,13,0,13,71,2,3.68,FALSE
24,Sales,Male,58,Consultant,21/1/2018 8:03,6,Master,2,6600,55,2,28,8,25,6,78,2,4.26,FALSE
25,HR,Female,38,Analyst,23/6/2018 8:03,6,Bachelor,2,4800,50,21,24,11,25,7,49,1,4.43,FALSE
26,Customer Support,Male,38,Specialist,3/5/2022 8:03,2,Bachelor,5,6750,59,24,0,13,25,3,9,2,2.12,FALSE
27,Finance,Male,45,Engineer,12/7/2021 8:03,3,Bachelor,2,7200,59,24,23,6,0,7,26,1,3.16,FALSE
28,Legal,Male,43,Manager,22/11/2014 8:03,9,Master,3,7800,44,42,3,10,75,4,45,2,1.35,TRUE
29,Engineering,Male,53,Specialist,17/4/2022 8:03,2,Bachelor,2,5400,31,34,14,6,50,6,42,1,4.52,FALSE
30,Finance,Male,52,Analyst,21/6/2023 8:03,1,High School,3,5200,45,25,29,9,25,2,37,2,4.95,FALSE
31,Customer Support,Male,58,Consultant,14/5/2018 8:03,6,Bachelor,1,6050,38,15,25,2,50,12,16,2,4.65,FALSE
32,Legal,Female,24,Manager,12/6/2023 8:03,1,High School,4,8400,39,25,7,7,50,18,22,0,1.95,FALSE
